from type \ to type,5-HTPMPV03,AOTU053,AOTU065,AVLP151,AVLP534,Am1,C2,C3,CB0472,CB0566,CB0592,CB0816,CB3089,CB3790,CL104,CT1,DCH,DN1-l,DN1a,DNc01,DNc02,DNg33,DNp11,DNp27,DNp30,Dm1,Dm10,Dm11,Dm12,Dm13,Dm14,Dm15,Dm16,Dm17,Dm18,Dm19,Dm2,Dm20,Dm3p,Dm3q,Dm3v,Dm4,Dm6,Dm8a,Dm8b,Dm9,DmDRA1,DmDRA2,H1,H2,HSE,HSN,HSS,L1,L2,L3,L4,L5,LAL047,LC10a,LC10b,LC10c,LC10d,LC10e,LC10f,LC11,LC12,LC13,LC14a1,LC14a2,LC14b,LC15,LC16,LC17,LC18,LC19,LC20a,LC20b,LC21,LC22,LC24,LC25,LC26,LC27,LC28a,LC29,LC31a,LC31b,LC31c,LC33a,LC34,LC35,LC36,LC37a,LC39,LC4,LC40,LC41,LC43,LC44,LC45,LC46,LC6,LC9,LCe01,LCe01a,LCe01b,LCe02,LCe03,LCe04,LCe05,LCe06,LCe07,LCe08,LCe09,LHPV2i2a,LLPC1,LLPC2,LLPC3,LLPC4,LLPt,LMTe01,LMa1,LMa2,LMa3,LMa4,LMa5,LMt1,LMt2,LMt3,LMt4,LNda,LPC1,LPC2,LPLC1,LPLC2,LPLC4,LPT04_HST,LPT21,LPT22,LPT23,LPT26,LPT27,LPT28,LPT29,LPT30,LPT31,LPT42_Nod4,LPT45_dCal1,LPT47_vCal2,LPT48_vCal3,LPT49,LPT50,LPT51,LPT52,LPT53,LPT54,LPT57,LPT58,LPTe01,LPTe02,LPi01,LPi02,LPi03,LPi04,LPi05,LPi06,LPi07,LPi08,LPi09,LPi10,LPi11,LPi12,LPi13,LPi14,LPi15,LT11,LT1a,LT1b,LT1c,LT1d,LT33,LT34,LT36,LT37,LT38,LT39,LT40,LT41,LT42,LT43,LT47,LT51,LT52,LT53,LT55,LT56,LT57,LT58,LT59,LT60,LT61a,LT61b,LT62,LT63,LT64,LT65,LT66,LT67,LT68,LT69,LT70,LT72,LT73,LT74,LT75,LT76,LT77,LT78,LT79,LT80,LT81,LT82a,LT83,LT84,LT85,LT86,LT87,LTe01,LTe02,LTe03,LTe04,LTe05,LTe06,LTe07,LTe08,LTe09,LTe10,LTe11,LTe12,LTe13,LTe14,LTe15,LTe16,LTe17,LTe18,LTe19,LTe20,LTe21,LTe22,LTe23,LTe24,LTe25,LTe26,LTe27,LTe28,LTe29,LTe30,LTe31,LTe32,LTe33,LTe35,LTe36,LTe37,LTe38a,LTe38b,LTe38c,LTe40,LTe41,LTe42a,LTe42b,LTe42c,LTe43,LTe44,LTe45,LTe46,LTe47,LTe48,LTe49a,LTe49b,LTe49c,LTe49d,LTe49e,LTe49f,LTe50,LTe51,LTe52,LTe53,LTe54,LTe55,LTe56,LTe57,LTe58,LTe59,LTe60,LTe61,LTe62,LTe63,LTe64,LTe65,LTe66,LTe67,LTe68,LTe69,LTe70,LTe71,LTe72,LTe73,LTe74,LTe75,LTe76,Lai,Lat,Lawf1,Lawf2,Li01,Li02,Li03,Li04,Li05,Li06,Li07,Li08,Li09,Li10,Li11,Li12,Li13,Li14,Li15,Li16,Li17,Li18,Li19,Li20,Li21,Li22,Li23,Li24,Li25,Li26,Li27,Li28,Li29,Li30,Li31,Li32,Li33,MC65,MLt1,MLt2,MLt3,MLt4,MLt5,MLt6,MLt7,MLt8,MTe01a,MTe01b,MTe02,MTe03,MTe04,MTe05,MTe06,MTe07,MTe08,MTe09,MTe10,MTe11,MTe12,MTe13,MTe14,MTe15,MTe16,MTe17,MTe18,MTe19,MTe20,MTe21,MTe22,MTe23,MTe24,MTe25,MTe26,MTe27,MTe28,MTe29,MTe30,MTe31,MTe32,MTe33,MTe34,MTe35,MTe36,MTe37,MTe38,MTe39,MTe40,MTe41,MTe42,MTe43,MTe44,MTe45,MTe46,MTe47,MTe48,MTe49,MTe50,MTe51,MTe52,MTe53,MTe54,MeLp1,MeLp2,MeMe_e01,MeMe_e02,MeMe_e03,MeMe_e04,MeMe_e05,MeMe_e06,MeMe_e07,MeMe_e08,MeMe_e09,MeMe_e10,MeTu1,MeTu2a,MeTu2b,MeTu3a,MeTu3b,MeTu3c,MeTu4a,MeTu4b,MeTu4c,MeTu4d,Mi1,Mi10,Mi13,Mi14,Mi15,Mi2,Mi4,Mi9,Nod1,Nod2,Nod3,Nod5,OA-AL2b1,OA-AL2b2,OA-AL2i1,OA-AL2i2,OA-AL2i3,OA-AL2i4,OA-ASM1,PDt,PLP051,PLP068,PLP215,PLP251,Pm01,Pm02,Pm03,Pm04,Pm05,Pm06,Pm07,Pm08,Pm09,Pm10,Pm11,Pm12,Pm13,Pm14,R1-6,R7,R8,Sm01,Sm02,Sm03,Sm04,Sm05,Sm06,Sm07,Sm08,Sm09,Sm10,Sm11,Sm12,Sm13,Sm14,Sm15,Sm16,Sm17,Sm18,Sm19,Sm20,Sm21,Sm22,Sm23,Sm24,Sm25,Sm26,Sm27,Sm28,Sm29,Sm30,Sm31,Sm32,Sm33,Sm34,Sm35,Sm36,Sm37,Sm38,Sm39,Sm40,Sm41,Sm42,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tlp1,Tlp14,Tlp4,Tlp5,Tm1,Tm16,Tm2,Tm20,Tm21,Tm25,Tm27,Tm3,Tm31,Tm32,Tm33,Tm34,Tm35,Tm36,Tm37,Tm4,Tm5a,Tm5b,Tm5c,Tm5d,Tm5e,Tm5f,Tm7,Tm8a,Tm8b,Tm9,TmY10,TmY11,TmY14,TmY15,TmY16,TmY20,TmY3,TmY31,TmY4,TmY5a,TmY9q,TmY9q⊥,VCH,VS1,VS2,VS3,VS4,VS5,VS6,VS7,VS8,VST1,VST2,VSm,Y1,Y11,Y12,Y3,Y4,aMe1,aMe10,aMe12,aMe13,aMe15,aMe17a1,aMe17a2,aMe17b,aMe17c,aMe19a,aMe19b,aMe20,aMe22,aMe25,aMe26,aMe3,aMe4,aMe5,aMe6a,aMe8,aMe9,cL01,cL02a,cL02b,cL02c,cL02d,cL03,cL04,cL05,cL06,cL07,cL08,cL09,cL10,cL11,cL12,cL13,cL14,cL15,cL16,cL17,cL18,cL19,cL20,cL21,cL22a,cL22b,cL22c,cLLP02,cLLPM01,cLLPM02,cLM01,cLP01,cLP02,cLP03,cLP04,cLP05,cLPL01,cM01a,cM01b,cM01c,cM02a,cM02b,cM03,cM04,cM05,cM07,cM08a,cM08b,cM08c,cM09,cM10,cM12,cM13,cM14,cM15,cM16,cM17,cM18,cM19,cML01,cML02,cMLLP01,cMLLP02,l-LNv,mALC3,mALC4,mALC5,mALC6,mALD1,mALD2,s-LNva,vCal1
MeTu4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,6,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,101,,26,4,31,,,,,,,,,,,,,,,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,8,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,42,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,3,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
MeTu4c,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,12,2,239,,111,37,,,29,,2,38,,2,,,11,5,2,,,,,,158,20,,,,,205,102,,5,82,20,,97,,,,,,12,,,,,,,13,,45,,,6,,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,30,,241,18,,43,,6,5,,,,,,,,,,,101,118,3,,,,,,,,,,,,,,,,,,26,,,,13,,,,,,,,,,2,,,32,,,178,216,,281,,53,,,16,,4,2,2,9,16,,8,,,,2,,,197,,7,,,105,37,6,,,,,4,68,4,30,,,2,26,16,,12,,,,11,2,,12,25,,2,25,12,7,116,37,,,7,,,13,,14,2,2,,,14,,1237,2,9,,,3,2,46,,,,,,,,,,,2,,,,,175,2,,3,,2,32,2,133,25,54,29,,,,,,,,,,,2,,,,3,,,,,,,2,6,,26,,63,,2,,,,,,32,15,,,,,,,,,2,,,,,,,,,,,,40,,42,,,,,,,6,,,,,,196,11,11,,,,,,2,,2,4,,,,,2,,,,,2,,,,,,18,,,,,25,,,,,2,,,3,138,,,,,,2,,,41,10,32,278,,,16,2,158,23,,,60,,,,2,,,,,2,,7,,8,,,,,,,,,2,,100,,,2,,,,,,,,,,,,,,,37,,,,,,,,636,2,27,6,,,,,2,8,3,202,,11,53,69,5,45,,,,,4,,193,,18,2,2,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,40,,,,,,,,,2,2,,,,,,,3,47,,,,3,,159,,,,,,,16,,15,2,,,2,,,2,,,,,,,,,,,,2,,,2,2,,42,4,,,,,,,,2,,,,,,,,,,,,,,
MeTu4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,7,,,,,,,,,,,,,,,,,,2,,,2,,,,,,2,,,,,,,,,2,14,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,62,,,,,,,,,,,,,,,8,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,20,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,,,,,,,,,,,,,,,,,
Mi1,2,,,,25,9,11907,6902,,,46,2,,,,2790,,,,2,2,,,,2,124,7671,5,14,25,,2,36,46,103,8,6518,25,30,18,558,70,230,69,661,76,3,,,,,,,12441,146,27,11,3888,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,277,1628,544,23841,,10,11,2,,,,,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,419,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2,10,72,6,,,,,4,,,,2,2,4,23,,,20,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,4,,,11,,,,,567,,,45,385,,,,,2,,47,3668,,,,,,4,18,4,2,,5,,2262,221,112,389,3072,8530,8927,5680,,,,,,6,25,33,85,,,54,,,,,87781,862,68840,678,39349,129,94,61797,4982,29,94,26,5,23,,22,9,115,336,10,15,1668,,28,24,2,,,,,,2,,,,2,3,,,,,,2,,,,,,51,,,,,,,,5,,4,30,9094,34086,42739,35045,28683,33637,29557,,,12,,,,2,,1560,25,179,817,4273,9729,24145,35556,2,,,,,7,3,85,19,39,61,19,1205,96,25,4,3,37,27,38,641,2653,90,30,12310,4,898,371,1455,1645,,,,,,,,,,,,,13,47,2,21527,176,,,2,,,,2,,4,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,95,,,,4,,,,,,,,
Mi10,94,,,,4,161,15,4,,43,22,344,,,,1279,,,,,,,,,,,9343,133,406,2,1059,64,,673,,642,104,248,42,37,50,85,95,895,9,21,441,174,,,,,,18,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,18,,273,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,3,18349,8,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,70,21,,29,296,,,2,815,186,157,329,33,2,315,5,,10,2,10,152,,,77,,81,140,,,4,,4,,5,,,130,,47,2,2,,31,6,,54,,8,3,247,8,,,,,,,,,2,,9,40,8,2,9,,,497,82,60,182,2,,410,,,6,12,60,6,,,,94,3622,80,1201,166,20,1025,7822,,,,,,,252,79,99,33,,243,,,,,4,,2,43,336,23,48,,5,2016,3,,5,183,,,10,101,45,8,1128,325,168,34,10,22,143,20,846,277,,18,2,4,481,915,,45,146,2,,4,2,17,2,11,6,159,65,3,2,2,128,,,,692,1308,272,,40,16,5,597,147,395,374,,,,,,,,,12,78,20,86,8,6,188,73,85,4,122,,29,,9,38,40,930,56,53,3115,66,724,939,231,50,20,2867,38,72,35,,30,19,16,78,12,,,,,,,,,,,,,,9,,,55,2,,18,193,,,,2,,16,80,139,,,121,,131,184,452,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,2,,,6,9,,14,2,,,,6,,,,,2,,,,,,,,,,,2,
Mi13,,,,,,,5,47,,,,5,,,,,,,,,,,,,,18,7,2,,,56,49,73,69,,102,18,3,2,6,2,,25,3,,4,,,,,,,,5,140,2,98,5740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,30,,49,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,29,10,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,6,,,2,,,,,,4,,,2,9919,2,120,40,2,28,28,892,,,,,,,,,8,,,14,,,,,8,,,8,37,,6,12,22,5,,3,,4,,,,,,,2,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,34,2846,427,19,5,,,,,,,,,,,,15738,2,8969,57,66,1055,6,4515,2,4,4,,12,2,2,7595,2,7,4,4,4,,,6,,547,,,22,9,9,,70,3,,28,4,,,,,,,,,,,,,,,,,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,2,,,,,,,,,,,,
Mi14,,,,,,,4,4,,,4,,,,,,,,,,,,,,,637,12,,,,63,176,49,25,21,22,4,177,,,,,20,2,,,,,,,,,,,105,20,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,28,6,2,1584,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,15,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,34,34,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,5,,,,2,,11,,,,10,,,,,,,2,6,,,,,,,,,,,,,115,8,71,26,2,38,28,269,,,,,,,,,4,,,4,,,,,11,6,101,4,72,12,500,53,2448,1229,,2,4,10,,,,2,,,,6,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,2386,,,,,,,,,,2,33,164,32,407,,,,,,,,,,,,,2722,4,311,12,42,2488,254,22,,,,,,2,,2530,,4,2,,,,2,,,30,11,29,4,15,16,,2123,10,,116,35,10,,,,,,,,,,,,,,5,,314,2,,,2,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Mi15,,,,,,,11,996,,5,,10,,,,,,,,2,,,,,,2,400,24,65,,,182,618,2,3,2,3006,5,4,17,,64,2,50,80,67,19,,,,,,,2,10,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,619,72,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,6,,8,19,,,8,302,9,10,96,7,76,4,,,5,,656,18,,,,199,24,273,,,,61,,,20,,2,70,,77,2,5,,45,,,,,4,,,63,,,,,6,2,,12,4,,12,32,,2,15,55,2,798,76,2,,2,18,917,4,288,133,7415,8741,,,2,2,33,300,60,140,1169,577,3104,47,,,,,,,2,,364,8,,16,,,,,,,,,6,,,,,2,,,,,,25,10,26,28,2060,12,335,2091,2100,1533,28,1093,4,55,2,4,25,130,41,196,12,289,23,,34,2,8,77,18,2,4,2693,12,8,,11,,2,21,22,1591,2,1218,22,44,10,8,,,,,,,,,,,,,,2,2,2,3,765,485,5,83,34,2,9,12,7,,4,154,38,24,736,2,32,6,542,13,2,,4,8,,10,,,6,5,,121,4,,,,,,,,,,,,,,,,,,,,2,35,,,12,4,2,,31,1715,,,39,4,32,45,1276,5,,214,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
Mi2,,,,,4,,9,13,,,41,,,,,,,,,,,,,,,40,22,2,2,6,,6,135,4,179,4,3,12,42,43,10,,56,5,4,4,,,,,,,,4,7,,2,158,,,,,,,,10,,,,,,2,,,5,,,,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,13,2,,5850,4,70,4,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,,,,,,,,,,,,,,,,,,,9,,,,,,8,,,,,,,,,,13,,21,14,,,,2,,,2,11,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,5,,,,3,,,9,178,2,8,4,9,,,,,,,2,10,,,,,,,,,4,,,,2315,2,10,119,,7,14,11,,,,,,,,,12,,,8,,,,,443,71,38,13,210,29,6,21,341,16,,,,17,,,,,2,,,,5,,,,,14,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,2,8,5270,5231,2931,,,,,,,,,,,,,3006,9,45,789,10218,195,1570,56,,,2,,2,4,4,2487,,16,20,,17,134,11,36,,2,275,,15,9,2,2,46,11,7,67,25,239,,,,,,,,,,,,,2,,,279,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Mi4,6,,,,2,9,35,379,,,1244,32,,,,38,,,,2,2,,,,,35,264,,285,,4,14,57,2187,,21,182,6646,4991,4828,2192,250,2878,12,2,170,,,,,,,,4,889,72,14,119,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,26,68,36,9498,10,10,6,4,,,,,,11,,,,,,11,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,31,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,611,28,13,354,,,,2,5,2,18,90,,,2,7,,,,,2,,,,,5,,,,,,,,,352,9,7,,,,,,,,,,4,2,47,2,3,103,,134,9,,,243,11,786,110,577,795,928,,,,,4,,2868,2719,,,21,,2,,6,12,4,,24,2,346,246,40,122,85,44,434,33577,,,,,,,87,4,,,,43,,,,,28,8,137,59,196,9,27,27,86,9922,11,6884,23,4759,,4,6,6,2,,198,21,3,23,14,4,,,,,,8,,,12,,,5,,,,,,,,,,,1262,,,,,,,,,,358,387,152,101,36,4635,4733,4367,3384,,,5,,,,,,1443,13910,618,12003,87,395,7019,1320,,4,,,4,17,3,333,1191,1683,265,680,35,1523,166,1162,89,10363,4861,14412,51,565,161,2,17201,4,97,5178,71,29,,,,,,,,,,,,,5,10,3,7709,9,,,2,,,,,,200,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,15,19,,,,,,,,,5,2,,,,43,,2,,,,,,,,,,
Mi9,23,,,,,22,105,684,,,1052,313,,,,2143,,,,,,,,,,37,196,4,208,487,6,18,481,8,76,8,50,134,56,114,505,5309,,14,8,49,,,,,,,,4,62,89,201,128,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,34,35,28,6530,2,25,4,3,,,,,,21,,,,,,7,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2815,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2542,123,26,2411,6,,7,5,3,36,245,110,,,7,6,,,2,,2,,,,,2,,,,,3,,,,2,,,,,,2,,2,,,,,2,,16,2,74,7,3,6,,,4,9,376,25,412,1409,227,,,21,,42,,1069,1011,,,2,,,,2,3,,,,,547,12397,33,137,3833,103,14699,90,,,,,,,218,99,2,,,36,,,,,73,68,1772,84,6859,31,488,139,595,2022,11,14,28,4815,,2,3,413,13,,1353,983,2,9,4,4,6,,480,,,,3,,57,,,44,2,,,,,,,,6,,3435,,,,,,,,,2,20,87,544,1244,437,9038,7665,8304,7032,,,2,,,,,,8170,938,4933,264,6238,60,2878,2303,5,11,12,,17,4,2,2774,61,1216,40,219,1822,63,6571,2921,3237,203,34,19450,95,230,317,2,13553,10,316,1366,58,15,,,,,,,,,,,,,9,7,2,8765,8,,,,,,,,,10,,,,,4,,,5,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,4,,,,,2,,,,,39,,2,,,9,15,,,,,,4,,,,,
Nod1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
