from type -> to type,connections,synapses
Tm5f -> Li27,8,22
Mi14 -> Tm3,8,22
Mi13 -> T3,9,22
Tm36 -> LT83,7,22
Dm2 -> Sm09,10,22
TmY3 -> Dm12,8,22
Tm5c -> Sm35,10,22
Y3 -> Li31,9,22
Tm35 -> TmY9q,8,22
Tm3 -> LT64,9,22
Li18 -> TmY11,10,22
TmY5a -> LT80,7,22
MLt1 -> LTe65,7,22
Lawf1 -> Tm1,6,22
TmY31 -> cLLP02,8,22
Li12 -> LTe45,6,22
Li12 -> Li30,7,22
Tm5a -> Sm06,10,22
DmDRA2 -> Sm10,7,22
LMt2 -> LMa1,10,22
Dm8b -> Sm21,10,22
Y3 -> LMt1,10,22
LMa1 -> T2a,11,22
T4d -> Nod5,9,22
LMt3 -> C3,10,22
TmY20 -> LTe26,9,22
LPi07 -> T4b,11,22
Tm33 -> Li05,4,22
LMa4 -> Li31,6,22
Pm05 -> Sm36,7,22
Pm09 -> TmY9q,10,22
Tlp14 -> cMLLP02,8,22
Tm5a -> LPLC4,10,22
Pm05 -> TmY11,10,22
LPi06 -> LLPC2,8,22
Dm3q -> TmY31,10,22
Li01 -> Tm5f,10,22
Sm25 -> Sm22,9,22
Sm25 -> MTe04,8,22
Pm10 -> Pm01,10,22
Dm8a -> Sm26,8,22
Tm4 -> TmY31,7,22
LPi07 -> LPi09,11,22
LMa1 -> T3,7,22
Pm01 -> Mi9,6,22
Li05 -> Y3,9,22
LMt4 -> Pm08,9,22
Y11 -> Li05,6,22
Tm32 -> Li09,8,22
Tm5d -> Dm8a,8,22
Mi10 -> CB0592,9,22
Tm3 -> Li15,8,22
Sm10 -> MeTu3b,9,22
Mi14 -> Dm19,10,22
uncertain -> Sm15,9,22
Sm18 -> Sm07,10,22
Tm9 -> TmY5a,9,22
Tm4 -> Dm20,10,22
Sm03 -> Sm08,9,22
Li07 -> LT51,7,22
Pm11 -> uncertain,6,22
TmY11 -> LPLC2,9,22
Tm37 -> LC10a,9,22
Tm3 -> Tm31,8,22
Pm05 -> Sm09,8,22
Li16 -> Li05,9,22
Tm20 -> cM10,11,22
LMt4 -> Li15,8,22
Sm30 -> MTe49,3,22
MLt8 -> Tm8a,9,22
Li12 -> LC17,8,22
Li12 -> LT72,7,22
Li15 -> LMa3,9,22
TmY10 -> Sm32,10,22
LMa2 -> OA-AL2i2,9,22
LPi04 -> T4c,11,22
LPi10 -> LPT30,5,22
Y3 -> cL09,6,22
Tm8b -> LTe54,8,22
LLPt -> cLLP02,8,22
T4a -> LPC2,9,22
LMt3 -> Pm09,10,22
Tm5a -> LPLC2,11,22
Dm20 -> Tm7,10,22
Li24 -> LT73,4,22
TmY4 -> LCe01b,9,22
Tm25 -> Li20,10,22
Sm05 -> Tm5b,8,22
L2 -> R8,4,22
Li18 -> LC24,11,22
Li10 -> Li21,10,22
Li10 -> Y4,9,22
LMa2 -> LT61a,7,22
Mi1 -> R7,7,22
Li01 -> LTe42b,6,22
Sm41 -> Dm20,4,22
Sm41 -> Sm31,6,22
LLPt -> LC17,10,22
Li27 -> Li31,2,22
Li27 -> Li09,8,22
LPi01 -> LPi01,10,22
LMa1 -> LC10a,10,22
Tm5f -> AVLP534,7,22
Dm8a -> MTe04,10,22
Tm8a -> LPT04_HST,9,22
Dm8b -> Mi2,10,22
TmY11 -> Sm21,7,22
Tlp1 -> VS7,8,22
Dm13 -> Dm10,10,22
Pm12 -> Pm10,9,22
Pm12 -> MTe52,9,22
Tm5d -> Li01,8,22
Sm38 -> MeTu3a,7,22
Sm40 -> Sm19,9,22
LPi11 -> uncertain,5,22
Sm11 -> MTe03,7,22
Sm11 -> Sm22,10,22
Pm14 -> Tm8a,11,22
Tm8b -> LC31c,5,22
Li06 -> LTe12,7,22
Tm8b -> LCe03,8,22
uncertain -> l-LNv,6,22
uncertain -> aMe24,3,22
Tm5e -> LC17,10,22
Li28 -> LC28a,8,22
Li28 -> LT58,2,22
Li28 -> T2a,8,22
Li28 -> LC21,10,22
Li33 -> LC33a,6,22
Li33 -> LTe37,2,22
Li33 -> LTe72,1,22
Li33 -> LMa1,8,22
Li33 -> LTe12,1,22
uncertain -> LT52,7,22
Sm39 -> aMe4,5,22
Am1 -> LPT51,1,22
LPi12 -> Nod5,1,22
LMa1 -> T5a,9,22
Sm35 -> Sm15,9,22
Li30 -> LC14b,8,22
Li30 -> LT77,3,22
Li30 -> LC15,8,22
Li30 -> cLLP02,2,22
Li32 -> LC31a,7,22
Li32 -> Y11,10,22
LC13 -> Li24,8,22
LC4 -> LPLC4,8,22
LC9 -> Li16,10,22
LLPC1 -> LPi05,11,22
MeTu2a -> MTe06,10,22
LC9 -> Li21,9,22
MeTu4a -> LC10c,6,22
MTe50 -> Tm20,11,22
MeTu2a -> MeTu3a,9,22
LC20a -> LTe62,3,22
LC14b -> LPTe01,8,22
LT66 -> TmY15,6,22
MTe39 -> cM05,1,22
MTe39 -> CB0143,1,22
MTe46 -> CB1791,3,22
cM01c -> MTe10,3,22
MTe05 -> uncertain,4,22
LC29 -> Li01,8,22
LPLC4 -> Y3,10,22
MTe50 -> Pm13,5,22
LC14a1 -> LC10d,7,22
LC17 -> LT83,9,22
LC24 -> OA-ASM1,7,22
LC24 -> LC17,9,22
LT60 -> Li24,2,22
LT60 -> LMa2,5,22
LT60 -> LT83,1,22
LC37a -> LTe17,3,22
LTe14 -> mALD2,1,22
LT52 -> LT78,8,22
MTe25 -> Tm8b,9,22
OA-AL2i4 -> Sm36,3,22
LC14b -> Pm03,9,22
cL12 -> LT69,1,22
PLP231 -> OA-AL2b1,3,22
LC14b -> LC9,5,22
LC4 -> LT66,9,22
MTe49 -> LTe58,2,22
aMe26 -> Sm06,8,22
MeTu3a -> MTe04,10,22
MeMe_e02 -> Pm13,3,22
cLP03 -> LPT47_vCal2,5,22
LLPC1 -> LPT57,4,22
MTe07 -> Sm40,5,22
LC14b -> LC14b,9,22
LPT51 -> PLP252,1,22
LT57 -> MLt6,8,22
MeTu4a -> LC28a,10,22
MeTu1 -> MeMe_e09,9,22
MTe01a -> MTe28,9,22
LC14a1 -> LC14a2,6,22
LC36 -> LTe64,7,22
LT52 -> LTe32,5,22
LC22 -> LT59,6,22
MeMe_e02 -> Sm09,7,22
LPT45_dCal1 -> T4a,10,22
LPTe01 -> PLP215,3,22
LC40 -> CB0472,6,22
cM08c -> CB0566,3,22
cM08c -> aMe24,2,22
cM08c -> 5-HTPMPV03,5,22
LCe01a -> LC21,10,22
LTe02 -> uncertain,1,22
LTe33 -> LTe22,2,22
LC21 -> LTe59,7,22
LPLC2 -> Tlp4,8,22
LC28a -> cMLLP01,7,22
cM18 -> Tm34,9,22
MTe23 -> aMe20,1,22
LCe01a -> Li09,9,22
MeMe_e01 -> OA-AL2i4,5,22
LTe08 -> Tm5a,5,22
MeTu1 -> Sm21,10,22
MTe01a -> Tm5b,6,22
MTe01a -> Sm16,9,22
LCe01b -> Tm37,9,22
LCe01b -> Tm5c,10,22
LC20a -> LC10e,8,22
MTe01a -> MeTu4b,7,22
LC18 -> LMa4,6,22
MeMe_e08 -> LPT53,3,22
cLLP02 -> Li02,10,22
cLLP02 -> Li33,2,22
cLLP02 -> Li32,2,22
LC25 -> Li09,9,22
LC37a -> LPLC1,8,22
LTe53 -> Li10,8,22
MTe50 -> mALD1,3,22
LAL047 -> MC65,3,22
LC9 -> Li01,9,22
cM10 -> Tm5a,7,22
MeMe_e06 -> MTe30,1,22
LC11 -> LMt2,11,22
LC14a2 -> LTe65,3,22
LC14a2 -> LCe06,5,22
cLLPM01 -> Pm13,2,22
cLLPM01 -> LTe15,3,22
cLLPM01 -> Tm27,9,22
mALC5 -> OA-AL2i1,1,22
mALC5 -> Tm8b,4,22
mALC5 -> Li28,2,22
mALC5 -> Li08,3,22
cM02a -> Sm04,8,22
LC45 -> LC29,4,22
LC45 -> LC20a,6,22
cL20 -> Li17,7,22
LT1c -> Li19,2,22
MeTu4c -> cL21,4,22
cM16 -> MTe12,3,22
cL02b -> LLPt,5,22
LT70 -> LC14b,7,22
aMe6a -> LTe13,1,22
OA-AL2i1 -> TmY16,10,22
VST2 -> LPT49,3,22
aMe24 -> cL04,2,22
LTe50 -> PLP185,2,22
aMe19b -> APDN3,2,22
aMe19b -> MeTu4d,6,22
aMe19b -> Sm18,6,22
aMe19b -> MeMe_e07,5,22
aMe19b -> aMe19a,2,22
MeMe_e04 -> Tm34,7,22
MTe01a -> Sm14,7,22
MTe30 -> LTe48,1,22
OA-ASM1 -> Tm8a,9,22
OA-ASM1 -> LPLC1,10,22
cL04 -> LT59,2,22
VST2 -> VSm,3,22
cLP02 -> LLPC4,8,22
LT53 -> Li06,7,22
LTe35 -> LPLC4,4,22
aMe17a2 -> Sm23,7,22
MTe02 -> MeTu1,4,22
LPT48_vCal3 -> Tlp5,9,22
LTe01 -> cL14,2,22
CB0566 -> Sm02,10,22
LPT21 -> LPC1,9,22
cM14 -> MTe46,1,22
cM14 -> MTe15,2,22
VCH -> Y4,9,22
VCH -> LMa4,8,22
cL08 -> LC22,8,22
cL08 -> Tm27,9,22
cM15 -> Mi15,9,22
MTe29 -> cM02b,1,22
LT11 -> Li14,7,22
LT11 -> LC21,10,22
HSS -> T5a,9,22
uncertain -> LTe69,1,22
MTe09 -> aMe26,4,22
AVLP151 -> cML01,1,22
LTe05 -> PLP185,1,22
MeTu4a -> LT69,2,22
H2 -> H1,1,22
aMe1 -> aMe20,2,22
LTe32 -> OA-ASM1,2,22
cM02b -> MeTu1,9,22
LT86 -> LT63,2,22
cM13 -> Tm8b,6,22
MTe38 -> PLP068,1,22
LT34 -> Li01,6,22
LT34 -> LTe01,2,22
LC31c -> OA-AL2b2,2,22
LC17 -> LC13,6,22
mALC3 -> LT11,1,22
mALC3 -> Li31,1,22
LPT30 -> LLPC3,9,22
LTe22 -> cL04,2,22
LTe25 -> LTe22,1,22
cL05 -> LC10b,6,22
cL05 -> LT58,1,22
LPT47_vCal2 -> LTe52,2,22
LT83 -> LMt3,6,22
aMe19a -> LMTe01,2,22
aMe17c -> Sm42,2,22
aMe17c -> 5-HTPMPV03,3,22
aMe17c -> Sm39,2,22
LTe42c -> cLLPM02,1,22
Tm7 -> LC40,7,21
Mi15 -> Sm37,9,21
Y4 -> Mi9,6,21
Tm7 -> Y3,9,21
Dm16 -> MLt1,10,21
Tm35 -> LC15,8,21
TmY9q⊥ -> LT58,5,21
Tm34 -> LT85,8,21
Li11 -> Tm33,9,21
Y1 -> HSS,10,21
Mi4 -> Dm19,10,21
Li21 -> LC18,9,21
Sm14 -> MTe37,6,21
Tm5e -> Sm31,9,21
Tm5f -> Dm12,10,21
TmY5a -> LT63,10,21
Pm11 -> Tm27,10,21
Pm11 -> T2a,10,21
TmY10 -> LT84,8,21
Tm16 -> Tm34,8,21
Tm5c -> Sm21,10,21
Mi2 -> Pm08,10,21
TmY20 -> LMa2,9,21
Sm09 -> MTe05,9,21
Tm7 -> LMa4,8,21
TmY4 -> Dm3p,10,21
Tlp1 -> VS5,8,21
Tm20 -> MTe02,6,21
Tm5d -> MeMe_e02,10,21
T5c -> cLP03,10,21
Li24 -> Li27,6,21
Li24 -> Li31,6,21
LMt1 -> LT83,9,21
TmY10 -> Tm27,10,21
Mi9 -> MeMe_e03,8,21
Li10 -> TmY10,10,21
Dm4 -> MLt2,7,21
LMt1 -> LT76,6,21
Pm13 -> Y3,10,21
Pm13 -> Tm37,9,21
Tm33 -> LC16,9,21
Li05 -> cLPL01,5,21
Li08 -> uncertain,8,21
Mi10 -> Dm9,7,21
Li02 -> LTe25,7,21
Sm03 -> MeMe_e10,8,21
L4 -> Dm20,9,21
TmY3 -> Tm7,10,21
Sm09 -> MTe52,9,21
Sm09 -> MTe03,10,21
Sm05 -> uncertain,6,21
Dm8a -> MTe03,7,21
Sm08 -> aMe10,6,21
TmY11 -> LTe35,5,21
TmY11 -> Dm12,10,21
TmY5a -> cM16,9,21
MLt6 -> TmY11,8,21
MLt6 -> MTe53,7,21
MLt1 -> LTe50,8,21
MLt1 -> Dm6,9,21
Pm03 -> uncertain,9,21
Tm36 -> Tm35,9,21
C2 -> T2a,8,21
C2 -> Tm20,10,21
Sm31 -> Sm09,8,21
Sm15 -> MLt7,9,21
Tlp5 -> TmY20,8,21
Tm4 -> Sm42,5,21
Tm5e -> LTe42c,10,21
Tm16 -> Pm03,10,21
TmY3 -> LPi03,6,21
Sm15 -> MeTu4d,8,21
Tm27 -> Dm20,10,21
Y3 -> cL05,9,21
Tm27 -> cLLPM01,9,21
Tm3 -> TmY4,9,21
LPi05 -> T4b,10,21
Tm33 -> LTe35,7,21
Tm5c -> TmY3,8,21
Tm5c -> Sm08,10,21
Li25 -> LC4,8,21
Sm12 -> MeTu1,10,21
Lawf1 -> C3,9,21
LMa5 -> CB0592,7,21
MLt6 -> MTe03,10,21
Pm01 -> PDt,10,21
DmDRA1 -> Tm8a,8,21
Li13 -> Li32,7,21
Li13 -> LC13,10,21
TmY31 -> LTe50,8,21
Tm4 -> LT58,5,21
Tm1 -> TmY20,6,21
Sm02 -> MTe01b,7,21
Tlp1 -> Y1,8,21
LMa4 -> Lawf2,8,21
LMa4 -> Mi9,9,21
Tm4 -> MTe43,10,21
Sm16 -> Sm15,10,21
Tlp4 -> Y12,10,21
TmY20 -> LC10d,6,21
LPi10 -> Y3,10,21
LPi10 -> Y11,10,21
Li07 -> LT11,6,21
Y3 -> Pm04,10,21
Tm16 -> LCe01b,8,21
TmY11 -> Y11,10,21
Li02 -> LTe52,6,21
Tm5e -> LTe58,9,21
LMt4 -> Li05,7,21
Tm1 -> C2,8,21
Sm42 -> MLt8,3,21
Tm16 -> LTe32,8,21
Li05 -> Li28,9,21
Dm20 -> Tm2,8,21
Tm7 -> MTe45,7,21
Mi14 -> Dm18,10,21
Tm8a -> LTe04,8,21
Li10 -> LTe12,7,21
TmY16 -> LC10d,9,21
Li10 -> TmY14,9,21
TmY14 -> TmY3,10,21
Tm5d -> Sm27,10,21
Li10 -> Tm4,10,21
L3 -> Tm25,8,21
Li12 -> LC10b,10,21
Pm05 -> Tm25,10,21
LMt2 -> LC10a,10,21
Tm34 -> LMa2,9,21
uncertain -> MeTu1,7,21
LMt3 -> Pm06,7,21
LMt3 -> TmY5a,9,21
LMt3 -> Tm9,8,21
MLt5 -> Sm42,7,21
T1 -> Lai,6,21
Tm27 -> LPT52,10,21
Tm5c -> LTe37,7,21
Tm2 -> Y11,3,21
Tm5b -> Sm20,10,21
Li10 -> TmY4,9,21
LMt3 -> LMt1,9,21
TmY31 -> Tm3,10,21
TmY5a -> LPT51,9,21
Tm8b -> Tm35,9,21
Dm1 -> Lawf1,9,21
Tm5b -> Li24,10,21
Tm5b -> Sm13,7,21
Mi4 -> Sm05,10,21
uncertain -> cM10,5,21
Mi10 -> MLt3,9,21
LPi06 -> Tm27,10,21
Sm32 -> Tm5e,7,21
Sm25 -> MeTu4c,8,21
Sm25 -> TmY10,9,21
TmY15 -> Pm08,10,21
Sm32 -> OA-AL2i1,9,21
LMa4 -> TmY16,9,21
LMa1 -> LMt1,9,21
LMa1 -> LC12,10,21
Sm08 -> Tm5a,9,21
Sm08 -> Sm32,8,21
Tm34 -> Tm20,10,21
Tm3 -> LC11,10,21
Tlp4 -> Tm4,8,21
Y3 -> Tm33,9,21
Li08 -> Y3,9,21
Tm35 -> LC20b,10,21
Tm16 -> TmY16,10,21
Sm06 -> Y3,8,21
uncertain -> MTe32,6,21
PDt -> Mi14,10,21
PDt -> Dm1,9,21
L3 -> TmY15,9,21
Mi9 -> LPLC4,8,21
LMa1 -> T2,9,21
Tm5b -> LTe26,7,21
T2a -> LT76,5,21
TmY11 -> MTe42,10,21
LMt4 -> T2,9,21
TmY9q -> LTe49a,8,21
Li12 -> LTe26,9,21
Dm20 -> TmY10,9,21
Tm5f -> cM07,8,21
Tm35 -> LT84,8,21
Pm11 -> MeMe_e08,7,21
L4 -> Dm6,7,21
Li15 -> LMa2,10,21
LMa5 -> Sm42,2,21
MLt7 -> Sm32,8,21
TmY4 -> LT58,3,21
LPi10 -> TmY16,9,21
LPi05 -> Li06,8,21
Tm5e -> LLPC1,9,21
Sm01 -> Sm21,9,21
Tm27 -> LC18,10,21
LMt4 -> Pm12,3,21
Li24 -> LT53,3,21
Li24 -> DNp11,2,21
LMa1 -> MeMe_e08,9,21
Y1 -> LPi01,9,21
TmY4 -> LC10a,8,21
L1 -> Dm4,9,21
Tlp1 -> LMa2,5,21
Pm07 -> Pm12,7,21
Pm07 -> Pm13,6,21
uncertain -> LCe01b,8,21
LMa3 -> LT62,8,21
Dm12 -> Dm3q,9,21
Mi2 -> MLt3,10,21
LMa2 -> Li14,8,21
Li20 -> Li15,8,21
Li20 -> LC13,8,21
Li17 -> LC14a1,9,21
Tm8b -> Tm20,6,21
T4c -> Am1,9,21
Sm41 -> Tm5d,10,21
Sm41 -> MTe25,1,21
Sm41 -> MTe06,6,21
Sm41 -> MTe31,1,21
uncertain -> MTe09,6,21
Sm32 -> Sm32,9,21
TmY4 -> Li33,10,21
Sm07 -> Sm05,9,21
Mi4 -> MeTu1,4,21
Tm5e -> LC12,9,21
Dm14 -> cM05,6,21
TmY10 -> Mi9,9,21
LMa2 -> MTe44,3,21
Mi1 -> Tm5a,9,21
LPi13 -> LMa4,8,21
LPi13 -> LPi05,8,21
LPi13 -> LPT58,1,21
TmY4 -> LC9,8,21
Tm32 -> Tm20,9,21
Li04 -> cLLP02,7,21
Sm38 -> Sm18,8,21
Sm38 -> MeTu2a,5,21
Sm31 -> LMa5,9,21
Y3 -> LLPC4,8,21
Dm9 -> L1,8,21
MLt5 -> MTe02,4,21
MLt5 -> MTe38,5,21
LMa5 -> T4c,5,21
TmY10 -> Tlp5,10,21
Tm33 -> Tm31,10,21
TmY15 -> LT51,8,21
MLt4 -> Mi1,6,21
Li04 -> TmY20,9,21
Pm12 -> Tm3,9,21
Pm12 -> Pm03,9,21
TmY9q -> LTe31,9,21
Tm5e -> Sm02,10,21
TmY31 -> LC15,7,21
Li04 -> LTe43,6,21
Sm40 -> MLt2,8,21
Sm40 -> MTe29,2,21
Mi10 -> MLt1,4,21
Li17 -> LT1b,9,21
Tm35 -> LTe27,6,21
Dm14 -> MLt1,7,21
Pm14 -> Mi2,10,21
Pm14 -> Tm33,8,21
Pm14 -> MTe41,2,21
Y12 -> LC31a,9,21
Sm36 -> Tm36,10,21
Li12 -> LC14a2,5,21
Li12 -> LTe68,6,21
Tm5e -> CB3089,6,21
Tm25 -> TmY14,9,21
Sm29 -> MeMe_e02,5,21
Sm09 -> aMe4,7,21
uncertain -> T4b,7,21
Li28 -> LMa1,9,21
Li28 -> LT11,2,21
Li33 -> LMa3,7,21
Li33 -> Tm36,10,21
LPi11 -> LPTe01,7,21
Sm35 -> Tm31,10,21
Am1 -> TmY20,9,21
Am1 -> H1,2,21
Tm1 -> Dm1,5,21
LPi12 -> VS7,1,21
Li29 -> LC40,6,21
Li29 -> Li33,1,21
Mi13 -> LMa3,3,21
Sm14 -> Dm8b,2,21
Sm35 -> Dm20,4,21
Dm16 -> LPLC1,6,21
Dm16 -> LMa1,2,21
LPi03 -> TmY5a,8,21
LPi15 -> TmY31,6,21
uncertain -> LTe42a,2,21
Li30 -> LT78,4,21
Li31 -> Li16,8,21
Li31 -> T2,9,21
Li31 -> cL09,1,21
Li32 -> Y1,10,21
Li32 -> LTe15,1,21
Li32 -> LC37a,3,21
cLP01 -> T5c,9,21
LC17 -> LT1a,10,21
LC11 -> LC18,10,21
LC11 -> T2,10,21
LLPC1 -> Li01,9,21
LCe03 -> Li30,9,21
LPLC4 -> LLPC3,10,21
LC24 -> Li27,8,21
LC24 -> LTe58,7,21
PLP249 -> LC31a,2,21
LC20a -> LC16,9,21
LC20a -> LTe36,5,21
LLPC3 -> LMa5,10,21
LC28a -> OA-AL2b1,4,21
LC28a -> LTe68,7,21
MTe01b -> Sm40,8,21
LTe04 -> LTe38a,3,21
LT66 -> cL08,2,21
LTe32 -> cL11,2,21
LPLC2 -> Am1,9,21
LC14a1 -> LTe18,4,21
LC14a1 -> TmY4,9,21
LC14a1 -> LC15,7,21
MTe05 -> MTe06,8,21
LTe64 -> LC10d,7,21
LC14a1 -> LTe26,6,21
cM04 -> Tm5c,9,21
cM04 -> aMe26,5,21
aMe17a1 -> TmY9q,8,21
LTe11 -> LC14b,5,21
LTe11 -> LTe17,1,21
LT70 -> LC21,8,21
LT70 -> cLLP02,7,21
LT70 -> cL05,4,21
aMe22 -> OA-AL2i4,1,21
LC14b -> LT51,6,21
MeTu4b -> MTe15,6,21
LPLC4 -> LTe14,5,21
LT60 -> LLPC1,6,21
LT52 -> Li28,7,21
LT52 -> LT64,4,21
OA-AL2i4 -> MLt7,8,21
LC14b -> Dm16,7,21
LC14a1 -> LCe03,5,21
LPLC2 -> Tm36,9,21
MTe52 -> LT53,4,21
MTe52 -> Tm8b,8,21
LC14a2 -> LTe38c,4,21
LC14a2 -> Li27,6,21
MeTu4d -> Tm5c,10,21
MTe40 -> Tm31,9,21
cL09 -> DNp11,1,21
cL09 -> T5b,7,21
cM05 -> Pm02,7,21
cM05 -> MLt1,8,21
cL21 -> OA-AL2i2,4,21
LPT57 -> LPi13,1,21
MTe07 -> Sm41,5,21
LCe06 -> LTe65,3,21
LC14a2 -> LT78,4,21
MTe01a -> aMe26,9,21
cL02a -> LC28a,5,21
cL02a -> LTe49f,3,21
LPT31 -> LMt3,5,21
MTe52 -> Sm05,10,21
LLPC3 -> Li13,7,21
cLPL01 -> Li33,1,21
LC36 -> CB0143,3,21
LT61b -> Li25,2,21
cML01 -> LT33,1,21
cML01 -> Tm5b,9,21
cML01 -> LMt4,6,21
MTe12 -> aMe19a,3,21
LC14a2 -> LMt1,6,21
aMe8 -> DNp27,2,21
LC21 -> LC43,5,21
LLPC2 -> cLP03,4,21
MTe01b -> cM05,2,21
LCe01a -> LPLC1,8,21
LTe02 -> LTe75,2,21
LPLC2 -> Tm5f,9,21
LC21 -> LC39,5,21
MeTu4c -> MeTu4c,7,21
MTe02 -> Sm20,8,21
MTe23 -> LC34,2,21
LTe08 -> LC10e,7,21
aMe5 -> aMe19b,8,21
aMe10 -> uncertain,3,21
MTe51 -> Sm42,7,21
l-LNv -> Dm6,10,21
LT81 -> cL22c,2,21
cLLP02 -> Li12,8,21
MTe04 -> PLP231,4,21
cLP02 -> LPT52,4,21
LTe53 -> Li12,5,21
MTe01a -> Tm8b,9,21
cM10 -> Pm14,2,21
LC22 -> cL14,7,21
LPTe01 -> LPT28,8,21
LPT42_Nod4 -> LPi15,1,21
VS1 -> T4d,10,21
MC65 -> LC35,3,21
mALC5 -> LC29,7,21
MTe41 -> LC4,4,21
MTe41 -> LPT54,1,21
cM02a -> Sm14,3,21
cM07 -> Tm3,10,21
cM07 -> Li33,1,21
MeTu4a -> LTe70,7,21
LTe60 -> cL19,1,21
LC14b -> TmY3,3,21
cL20 -> LC11,8,21
LT1c -> Li25,2,21
LT56 -> Tm20,10,21
LT41 -> LLPC2,8,21
LT69 -> LT37,1,21
mALD2 -> cL13,1,21
cM16 -> Tm32,9,21
cM16 -> Sm22,7,21
LT63 -> cL22a,2,21
LT63 -> LC14a2,8,21
cL11 -> CB3866,1,21
LT1b -> LMt2,7,21
LC13 -> LC20b,7,21
LC46 -> cL11,2,21
OA-AL2i1 -> LLPC1,10,21
OA-AL2i1 -> LPT23,3,21
mALD1 -> aMe20,1,21
LT37 -> LC43,3,21
LT37 -> Tm16,2,21
LT37 -> cL16,2,21
MeMe_e07 -> TmY15,9,21
cL15 -> LCe03,6,21
LT39 -> uncertain,6,21
MTe42 -> uncertain,1,21
MTe22 -> Dm8a,7,21
cL14 -> Tm32,9,21
cL14 -> OA-ASM1,4,21
DNpe053 -> LTe71,1,21
OA-ASM1 -> Li11,9,21
LTe62 -> TmY10,9,21
LPT54 -> CB0802,1,21
LPT54 -> MTe18,1,21
aMe4 -> Pm13,4,21
LT53 -> LTe45,2,21
cLP05 -> PLP020,1,21
aMe17a2 -> MeTu1,10,21
aMe17a2 -> Dm1,7,21
CB0592 -> Mi10,7,21
CB0592 -> TmY16,8,21
cM17 -> Pm13,1,21
cL22c -> LTe42a,1,21
CB0566 -> Tm5f,10,21
cML02 -> LPLC4,5,21
LPT21 -> LPi05,9,21
cM14 -> Tm31,7,21
cM14 -> Tm8b,6,21
LT68 -> Li13,5,21
VCH -> LLPC3,10,21
VCH -> LPi13,1,21
cL08 -> LMa5,8,21
LC35 -> DNp31,1,21
cM15 -> MTe47,2,21
cM15 -> MTe46,1,21
LPT22 -> LPi14,2,21
LT58 -> LCe03,7,21
LT58 -> OA-ASM1,4,21
LTe17 -> TmY10,10,21
HSE -> VCH,1,21
LT43 -> LLPt,8,21
LPT26 -> PLP081,1,21
aMe1 -> MTe48,2,21
PLP231 -> CB0143,1,21
cL06 -> Li27,2,21
LT72 -> LTe38a,3,21
LT72 -> LT51,5,21
LT86 -> cL16,2,21
cM08b -> Sm31,5,21
LTe19 -> LTe24,1,21
VS5 -> LPi11,7,21
LTe22 -> TmY10,9,21
LTe15 -> PLP252,1,21
LTe25 -> LC10b,6,21
cMLLP01 -> LPT30,1,21
cL05 -> MLt6,8,21
TmY15 -> LPT50,8,20
Li22 -> Li17,7,20
TmY31 -> LT80,6,20
Tm1 -> L3,7,20
Dm18 -> Mi14,10,20
Dm18 -> TmY5a,10,20
TmY3 -> Li15,8,20
Sm13 -> Tm32,9,20
Sm13 -> Sm09,10,20
T5c -> Li14,10,20
LMa4 -> Pm13,9,20
Tm3 -> T5c,8,20
Y3 -> LMt4,10,20
Tlp14 -> LPT49,9,20
Tlp14 -> LT61b,7,20
T4a -> LMa4,10,20
Tm3 -> Dm2,10,20
Dm15 -> Mi2,9,20
L5 -> TmY15,8,20
Tlp4 -> T2,9,20
T4c -> Pm04,9,20
Tm35 -> Li01,9,20
TmY9q⊥ -> LC21,8,20
Mi10 -> Mi2,10,20
TmY31 -> 5-HTPMPV03,9,20
C3 -> Tm5c,10,20
L1 -> T2a,8,20
Sm09 -> Tm37,9,20
uncertain -> LLPt,7,20
Li09 -> LC20a,8,20
TmY5a -> LTe14,10,20
TmY10 -> LC33a,9,20
Tm5f -> Sm31,10,20
Dm1 -> Tm27,9,20
Dm3v -> Tm5a,10,20
Mi2 -> Tm5c,10,20
TmY4 -> Pm07,8,20
Tm4 -> Dm10,8,20
MLt5 -> MLt5,10,20
MLt3 -> LT73,9,20
LMa2 -> LTe59,6,20
LMa2 -> LT63,8,20
MLt6 -> LTe64,6,20
R7 -> MeTu1,8,20
Tm20 -> Dm9,10,20
LMt1 -> Y4,8,20
LMt1 -> Li21,9,20
LMt1 -> LLPC3,9,20
TmY3 -> Mi10,9,20
MLt3 -> Li32,9,20
Tm27 -> Li16,9,20
Sm08 -> Tm32,8,20
Tm37 -> TmY31,8,20
Sm09 -> MTe35,9,20
Dm8a -> Lawf2,9,20
TmY5a -> LPi03,9,20
Tlp14 -> TmY4,10,20
Y4 -> Li21,9,20
Dm18 -> Mi1,5,20
Tm5e -> LTe45,9,20
Tm5e -> LC43,10,20
Mi1 -> MTe11,6,20
uncertain -> Li12,8,20
uncertain -> LC28a,9,20
Y1 -> MeMe_e07,7,20
Mi1 -> LPLC2,6,20
Tm16 -> LTe03,8,20
TmY16 -> T4b,9,20
Tm3 -> T5a,8,20
TmY15 -> Nod2,8,20
Tm9 -> MLt3,8,20
Dm20 -> Sm32,8,20
TmY4 -> Tm5e,9,20
Mi10 -> TmY10,9,20
Li05 -> LC28a,10,20
Dm3q -> Tm5c,8,20
TmY15 -> TmY16,9,20
Tm27 -> AVLP534,8,20
Sm08 -> Dm11,9,20
LLPt -> TmY16,8,20
