from type -> to type,connections,synapses
T5a -> Y11,1286,4539
Mi13 -> Tm3,1311,4527
Tm5a -> Li12,486,4516
LMt3 -> Pm03,403,4508
T5b -> LPi12,715,4483
Tm3 -> TmY16,1286,4454
TmY5a -> LC20b,812,4451
Tm25 -> TmY5a,1047,4447
cLP02 -> Tlp1,652,4444
Sm32 -> Dm10,981,4441
Pm02 -> Tm25,1035,4438
Tm3 -> Pm06,1216,4437
Dm3q -> Dm3p,1620,4426
C3 -> Tm20,709,4423
T5b -> LPLC2,1330,4421
T4c -> LPLC2,1330,4415
Pm10 -> Tm4,1213,4399
Pm14 -> C2,717,4391
OA-AL2b2 -> Tm3,1289,4391
aMe4 -> Lawf1,545,4379
T5a -> VCH,458,4377
Pm07 -> Pm05,217,4376
Mi4 -> T4c,1151,4372
T4c -> LPi04,1030,4364
LPi15 -> LLPC1,113,4358
T5b -> LT33,699,4357
T4a -> Y11,1276,4344
Sm15 -> MeTu1,490,4344
Pm04 -> Tm3,1217,4340
Tm2 -> Li26,1243,4338
Dm15 -> Mi9,1260,4338
T2 -> LMt4,1132,4337
T4a -> VCH,449,4336
LPi11 -> LPC2,189,4315
Pm06 -> Mi9,1409,4305
TmY9q⊥ -> Li28,360,4301
Mi1 -> Tm21,1227,4294
Sm07 -> Sm06,572,4291
Tm25 -> LC11,1018,4290
Li33 -> LPLC1,72,4283
Pm09 -> LMa2,249,4277
LMa5 -> Mi2,570,4256
Tm5b -> Tm5d,571,4248
T5b -> T5b,1494,4243
Tm16 -> Tm9,1140,4240
Sm26 -> Dm8b,644,4232
Tm4 -> LMa5,847,4199
Y4 -> LMa5,230,4197
Tm2 -> Dm3q,1298,4184
Pm08 -> T3,1471,4174
T4c -> CT1,761,4164
Tm5e -> Li10,625,4158
L3 -> Dm3q,1091,4151
Pm05 -> Pm03,491,4137
Tm16 -> Tm4,1079,4133
Tm4 -> Li26,1279,4131
T4a -> CT1,703,4122
Li06 -> LT87,93,4120
Dm8b -> Dm2,664,4107
Pm08 -> Pm05,448,4107
Y12 -> T5d,1340,4102
cM05 -> Mi4,592,4096
Tm3 -> Li14,1127,4081
T4c -> T4c,1340,4078
Pm05 -> Pm09,383,4075
TmY9q⊥ -> TmY5a,1253,4072
cLP03 -> LPi10,159,4070
Pm04 -> TmY14,525,4066
T4a -> C3,1111,4062
Pm10 -> TmY16,377,4061
LPi14 -> LPC1,155,4056
Lai -> L3,939,4050
Tm4 -> Tm21,1368,4034
Pm11 -> Pm09,229,4022
T2a -> Li06,1214,4010
R7 -> Dm8b,697,4009
Tm16 -> TmY5a,849,4005
MeTu1 -> MTe01b,532,3993
Tlp14 -> T4c,1221,3979
T5b -> LPT23,851,3974
T5d -> LPLC2,1196,3974
Tm3 -> Li31,729,3963
Dm14 -> TmY3,773,3963
Pm12 -> T2,1022,3962
TmY15 -> T4d,1140,3953
Dm10 -> Tm4,1064,3945
Pm12 -> Tm2,1140,3942
TmY5a -> Dm13,1076,3938
Y3 -> Tm25,755,3934
T2 -> TmY5a,1319,3924
Tm21 -> TmY5a,1194,3924
Y3 -> LC17,611,3899
Mi1 -> L5,715,3895
T5a -> HSE,496,3893
LMt4 -> LMa3,172,3893
R7 -> Dm9,553,3889
Pm03 -> Mi1,1388,3889
LPi11 -> Tlp4,218,3883
Li17 -> LC18,532,3879
TmY3 -> TmY5a,1066,3874
Dm19 -> Dm6,186,3864
LPi13 -> T4d,692,3864
Tm20 -> Mi9,716,3849
Tm3 -> LMa5,860,3844
TmY20 -> TmY14,588,3841
Pm03 -> Pm09,560,3839
Mi9 -> Mi15,596,3831
C2 -> L3,605,3831
TmY5a -> Am1,556,3801
