source,n_size,n_col,n_shp,target,n_size,n_col,n_shp,weight,e_clr,e_shp,relation
T5b,96,Cluster12,700+ cells,LPT21,96,Boundary,1-99 cells,1242,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,DCH,94,Boundary,1-99 cells,5379,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,DCH,94,Boundary,1-99 cells,4701,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,HSN,94,Boundary,1-99 cells,3287,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,HSN,94,Boundary,1-99 cells,2726,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,HSE,94,Boundary,1-99 cells,3893,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,HSE,94,Boundary,1-99 cells,3281,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,Nod1,94,Boundary,1-99 cells,485,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,Tlp1,98,Cluster11,1-99 cells,7746,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,Tlp1,93,Cluster11,1-99 cells,7509,Top Input,Excitation,top_input
Tlp1,27,Cluster11,1-99 cells,TmY14,27,Cluster7,100-699 cells,4611,Top Output,Inhibition,top_output
T4d,98,Cluster12,700+ cells,VS3,98,Boundary,1-99 cells,3081,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,VS3,93,Boundary,1-99 cells,2940,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,VSm,93,Boundary,1-99 cells,2733,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,VSm,98,Boundary,1-99 cells,2097,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,VS2,98,Boundary,1-99 cells,3277,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,VS2,93,Boundary,1-99 cells,3192,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,LPi08,97,Cluster11,1-99 cells,1325,Top Input,Excitation,top_input
LPi11,23,Cluster11,1-99 cells,LPi08,23,Cluster11,1-99 cells,1163,Top Input,Inhibition,top_input
T4c,100,Cluster12,700+ cells,LPi08,100,Cluster11,1-99 cells,1098,Top Input,Excitation,top_input
LPi08,22,Cluster11,1-99 cells,TmY20,22,Cluster11,100-699 cells,714,Top Output,Inhibition,top_output
LPi08,22,Cluster11,1-99 cells,TmY31,22,Cluster1,100-699 cells,688,Top Output,Inhibition,top_output
LPi08,22,Cluster11,1-99 cells,LPLC4,22,Boundary,1-99 cells,573,Top Output,Inhibition,top_output
T5d,93,Cluster12,700+ cells,LPi06,93,Cluster11,1-99 cells,1132,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPi06,98,Cluster11,1-99 cells,1109,Top Input,Excitation,top_input
LPi06,22,Cluster11,1-99 cells,TmY20,22,Cluster11,100-699 cells,914,Top Output,Inhibition,top_output
LPi09,26,Cluster11,1-99 cells,LPT49,26,Boundary,1-99 cells,907,Top Input,Inhibition,top_input
T4d,98,Cluster12,700+ cells,LPT47_vCal2,98,Boundary,1-99 cells,724,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,LPT47_vCal2,93,Boundary,1-99 cells,558,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPTe01,98,Boundary,1-99 cells,1053,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,LPTe01,93,Boundary,1-99 cells,868,Top Input,Excitation,top_input
T4b,95,Cluster12,700+ cells,VS1,95,Boundary,1-99 cells,2078,Top Input,Excitation,top_input
T5b,96,Cluster12,700+ cells,VS1,96,Boundary,1-99 cells,1982,Top Input,Excitation,top_input
TmY20,34,Cluster11,100-699 cells,LC14a2,34,Boundary,1-99 cells,551,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,VST2,93,Boundary,1-99 cells,1426,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,VST2,98,Boundary,1-99 cells,1128,Top Input,Excitation,top_input
Tlp1,27,Cluster11,1-99 cells,LTe18,27,Boundary,1-99 cells,215,Top Input,Inhibition,top_input
T5d,93,Cluster12,700+ cells,LPT27,93,Boundary,1-99 cells,1849,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPT27,98,Boundary,1-99 cells,1531,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPT30,98,Boundary,1-99 cells,425,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,LPT30,93,Boundary,1-99 cells,319,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,LPT31,94,Boundary,1-99 cells,350,Top Input,Excitation,top_input
LPi15,20,Cluster11,1-99 cells,LPT31,20,Boundary,1-99 cells,311,Top Input,Inhibition,top_input
T5c,97,Cluster12,700+ cells,LPT26,97,Boundary,1-99 cells,1334,Top Input,Excitation,top_input
T5a,94,Cluster12,700+ cells,LPT26,94,Boundary,1-99 cells,1265,Top Input,Excitation,top_input
LPi02,25,Cluster11,1-99 cells,LPT22,25,Boundary,1-99 cells,393,Top Input,Inhibition,top_input
LPi02,25,Cluster11,1-99 cells,LPT52,25,Boundary,1-99 cells,157,Top Input,Inhibition,top_input
LPi12,20,Cluster11,1-99 cells,LPT52,20,Boundary,1-99 cells,142,Top Input,Inhibition,top_input
T5a,94,Cluster12,700+ cells,VS8,94,Boundary,1-99 cells,919,Top Input,Excitation,top_input
T4a,94,Cluster12,700+ cells,VS8,94,Boundary,1-99 cells,769,Top Input,Excitation,top_input
T5d,93,Cluster12,700+ cells,VS8,93,Boundary,1-99 cells,732,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,VS8,98,Boundary,1-99 cells,722,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,AVLP151,98,Boundary,1-99 cells,6,Top Input,Excitation,top_input
T4d,98,Cluster12,700+ cells,LPT45_dCal1,98,Boundary,1-99 cells,1480,Top Input,Excitation,top_input
LPi06,22,Cluster11,1-99 cells,cMLLP02,22,Boundary,1-99 cells,26,Top Input,Inhibition,top_input
Tlp14,23,Cluster11,1-99 cells,cMLLP02,23,Boundary,1-99 cells,22,Top Input,Inhibition,top_input
LPi13,20,Cluster11,1-99 cells,cLP02,20,Boundary,1-99 cells,89,Top Input,Inhibition,top_input
TmY20,34,Cluster11,100-699 cells,LPT57,34,Boundary,1-99 cells,47,Top Input,Excitation,top_input
Y12,30,Cluster11,1-99 cells,cLLPM02,30,Boundary,1-99 cells,9,Top Input,Inhibition,top_input
Y1,28,Cluster11,1-99 cells,cLLPM02,28,Boundary,1-99 cells,8,Top Input,Inhibition,top_input
LPi13,20,Cluster11,1-99 cells,cLP01,20,Boundary,1-99 cells,32,Top Input,Inhibition,top_input
T4c,100,Cluster12,700+ cells,cLP05,100,Boundary,1-99 cells,12,Top Input,Excitation,top_input
T5c,97,Cluster12,700+ cells,cLP05,97,Boundary,1-99 cells,9,Top Input,Excitation,top_input
